,country,year,litres per capita average
0,Afghanistan,2019,0.0
1,Yemen,2019,0.0
2,Libya,2019,0.0
3,Bangladesh,2019,0.0
4,Kuwait,2019,0.0
5,Mauritania,2019,0.0
6,Saudi Arabia,2019,0.0
7,Somalia,2019,0.0
8,Egypt,2019,0.1
9,Syrian Arab Republic,2019,0.2
10,Bhutan,2019,0.2
11,Indonesia,2019,0.2
12,Pakistan,2019,0.3
13,Djibouti,2019,0.4
14,Iraq,2019,0.4
15,Tonga,2019,0.4
16,Brunei Darussalam,2019,0.5
17,Jordan,2019,0.5
18,Niger,2019,0.5
19,Morocco,2019,0.5
20,Timor-Leste,2019,0.5
21,Nepal,2019,0.6
22,Algeria,2019,0.6
23,Senegal,2019,0.7
24,Malaysia,2019,0.9
25,Oman,2019,0.9
26,Tajikistan,2019,0.9
27,Iran (Islamic Republic of),2019,1.0
28,Azerbaijan,2019,1.0
29,Guinea,2019,1.1
30,Comoros,2019,1.1
31,Democratic Republic of the Congo,2019,1.1
32,Bahrain,2019,1.1
33,Chad,2019,1.3
34,Mali,2019,1.3
35,Tuvalu,2019,1.3
36,Qatar,2019,1.5
37,Lebanon,2019,1.5
38,Guatemala,2019,1.6
39,Central African Republic,2019,1.7
40,Solomon Islands,2019,1.7
41,Turkey,2019,1.8
42,United States of America,2019,10.0
43,Denmark,2019,10.1
44,Japan,2019,10.1
45,Barbados,2019,10.4
46,Australia,2019,10.4
47,Greece,2019,10.5
48,Russian Federation,2019,10.5
49,Finland,2019,10.7
50,New Zealand,2019,10.7
51,Cyprus,2019,10.8
52,Estonia,2019,10.8
53,Belgium,2019,10.8
54,Cook Islands,2019,10.9
55,Burkina Faso,2019,11.0
56,Belarus,2019,11.0
57,Hungary,2019,11.1
58,Slovakia,2019,11.1
59,Switzerland,2019,11.2
60,United Kingdom of Great Britain and Northern Ireland,2019,11.4
61,Poland,2019,11.9
62,Austria,2019,11.9
63,United Republic of Tanzania,2019,12.0
64,Lao People's Democratic Republic,2019,12.1
65,Portugal,2019,12.1
66,Slovenia,2019,12.1
67,France,2019,12.2
68,Montenegro,2019,12.2
69,Andorra,2019,12.3
70,Romania,2019,12.3
71,Luxembourg,2019,12.4
72,Uganda,2019,12.5
73,Bulgaria,2019,12.5
74,Spain,2019,12.7
75,Ireland,2019,12.7
76,Lithuania,2019,12.8
77,Germany,2019,12.8
78,Republic of Moldova,2019,12.9
79,Latvia,2019,13.2
80,Czechia,2019,14.3
81,Madagascar,2019,2.0
82,Tunisia,2019,2.0
83,Singapore,2019,2.0
84,Eritrea,2019,2.1
85,Vanuatu,2019,2.1
86,Papua New Guinea,2019,2.1
87,Kenya,2019,2.1
88,Myanmar,2019,2.1
89,Ethiopia,2019,2.2
90,Benin,2019,2.2
91,Kiribati,2019,2.3
92,Micronesia (Federated States of),2019,2.5
93,Uzbekistan,2019,2.6
94,Togo,2019,2.7
95,Mozambique,2019,2.7
96,Maldives,2019,2.8
97,Ghana,2019,2.8
98,Samoa,2019,2.8
99,Sri Lanka,2019,2.9
100,Côte d’Ivoire,2019,3.0
101,Haiti,2019,3.0
102,Namibia,2019,3.1
103,Turkmenistan,2019,3.1
104,Ecuador,2019,3.3
105,Gambia,2019,3.4
106,Venezuela (Bolivarian Republic of),2019,3.6
107,Fiji,2019,3.7
108,United Arab Emirates,2019,3.8
109,Honduras,2019,3.9
110,Bolivia (Plurinational State of),2019,3.9
111,Malawi,2019,4.1
112,El Salvador,2019,4.1
113,Costa Rica,2019,4.1
114,Nauru,2019,4.2
115,Democratic People's Republic of Korea,2019,4.2
116,Jamaica,2019,4.2
117,Israel,2019,4.4
118,Zambia,2019,4.5
119,Zimbabwe,2019,4.5
120,Armenia,2019,4.7
121,Bahamas,2019,4.8
122,Mauritius,2019,4.8
123,Kyrgyzstan,2019,4.9
124,Kazakhstan,2019,5.0
125,Mexico,2019,5.0
126,Nicaragua,2019,5.1
127,Lesotho,2019,5.1
128,Sierra Leone,2019,5.3
129,Guyana,2019,5.3
130,Liberia,2019,5.4
131,Guinea-Bissau,2019,5.5
132,Colombia,2019,5.5
133,Cameroon,2019,5.5
134,India,2019,5.6
135,Sao Tome and Principe,2019,5.8
136,Mongolia,2019,5.9
137,China,2019,6.0
138,Nigeria,2019,6.2
139,Saint Kitts and Nevis,2019,6.3
140,Cuba,2019,6.3
141,Belize,2019,6.4
142,The former Yugoslav Republic of Macedonia,2019,6.4
143,Cabo Verde,2019,6.4
144,Trinidad and Tobago,2019,6.5
145,Botswana,2019,6.6
146,Dominican Republic,2019,6.7
147,Albania,2019,6.8
148,Peru,2019,6.8
149,Equatorial Guinea,2019,6.9
150,Uruguay,2019,6.9
151,Philippines,2019,7.0
152,Paraguay,2019,7.0
153,Norway,2019,7.1
154,Dominica,2019,7.2
155,Saint Vincent and the Grenadines,2019,7.2
156,Brazil,2019,7.3
157,Suriname,2019,7.4
158,Burundi,2019,7.5
159,Panama,2019,7.8
160,Cambodia,2019,7.8
161,Bosnia and Herzegovina,2019,7.8
162,Angola,2019,7.8
163,Viet Nam,2019,7.9
164,Rwanda,2019,8.0
165,Italy,2019,8.0
166,Gabon,2019,8.1
167,Ukraine,2019,8.3
168,Malta,2019,8.3
169,Thailand,2019,8.5
170,Republic of Korea,2019,8.5
171,Croatia,2019,8.7
172,Seychelles,2019,8.8
173,Eswatini,2019,8.8
174,Canada,2019,8.8
175,Serbia,2019,8.9
176,Chile,2019,8.9
177,Grenada,2019,9.0
178,Sweden,2019,9.0
179,Congo,2019,9.2
180,Iceland,2019,9.2
181,Antigua and Barbuda,2019,9.4
182,South Africa,2019,9.5
183,Georgia,2019,9.5
184,Argentina,2019,9.5
185,Saint Lucia,2019,9.6
186,Netherlands,2019,9.7
187,Niue,2019,9.9
188,Libya,2015,0.0
189,Yemen,2015,0.0
190,Afghanistan,2015,0.0
191,Bangladesh,2015,0.0
192,Kuwait,2015,0.0
193,Mauritania,2015,0.0
194,Saudi Arabia,2015,0.0
195,Somalia,2015,0.0
196,Egypt,2015,0.2
197,Indonesia,2015,0.2
198,Pakistan,2015,0.3
199,Bhutan,2015,0.3
200,Syrian Arab Republic,2015,0.3
201,Iraq,2015,0.4
202,Tonga,2015,0.4
203,Morocco,2015,0.4
204,Niger,2015,0.5
205,Brunei Darussalam,2015,0.5
206,Djibouti,2015,0.5
207,Nepal,2015,0.5
208,Azerbaijan,2015,0.5
209,Timor-Leste,2015,0.5
210,Senegal,2015,0.6
211,Jordan,2015,0.6
212,Algeria,2015,0.6
213,Comoros,2015,0.8
214,Malaysia,2015,0.8
215,Oman,2015,0.8
216,Tajikistan,2015,0.9
217,Iran (Islamic Republic of),2015,1.0
218,Guinea,2015,1.2
219,Mali,2015,1.3
220,Democratic Republic of the Congo,2015,1.3
221,Bahrain,2015,1.4
222,Lebanon,2015,1.5
223,Chad,2015,1.6
224,Qatar,2015,1.6
225,Solomon Islands,2015,1.6
226,Ethiopia,2015,1.6
227,Guatemala,2015,1.7
228,Myanmar,2015,1.7
229,Madagascar,2015,1.9
230,Vanuatu,2015,1.9
231,Turkey,2015,1.9
232,Barbados,2015,10.0
233,Ukraine,2015,10.1
234,Denmark,2015,10.4
235,New Zealand,2015,10.4
236,Lao People's Democratic Republic,2015,10.5
237,Burkina Faso,2015,10.7
238,Greece,2015,10.8
239,Cyprus,2015,10.8
240,Australia,2015,10.8
241,Cook Islands,2015,10.9
242,Latvia,2015,11.0
243,Finland,2015,11.0
244,Montenegro,2015,11.1
245,Belarus,2015,11.1
246,Slovakia,2015,11.2
247,United Kingdom of Great Britain and Northern Ireland,2015,11.2
248,Spain,2015,11.4
249,Switzerland,2015,11.5
250,Hungary,2015,11.6
251,Poland,2015,11.6
252,Romania,2015,11.6
253,Belgium,2015,11.8
254,United Republic of Tanzania,2015,11.8
255,Portugal,2015,11.9
256,Andorra,2015,11.9
257,Russian Federation,2015,11.9
258,Bulgaria,2015,12.0
259,Austria,2015,12.1
260,Republic of Moldova,2015,12.3
261,France,2015,12.6
262,Ireland,2015,12.6
263,Slovenia,2015,12.7
264,Luxembourg,2015,12.7
265,Uganda,2015,13.0
266,Germany,2015,13.0
267,Czechia,2015,14.2
268,Estonia,2015,14.4
269,Lithuania,2015,15.4
270,Kiribati,2015,2.0
271,Tunisia,2015,2.0
272,Tuvalu,2015,2.0
273,Kenya,2015,2.0
274,Singapore,2015,2.1
275,Eritrea,2015,2.2
276,Mozambique,2015,2.3
277,Maldives,2015,2.4
278,Central African Republic,2015,2.4
279,Micronesia (Federated States of),2015,2.4
280,Papua New Guinea,2015,2.4
281,Togo,2015,2.4
282,Côte d’Ivoire,2015,2.5
283,Uzbekistan,2015,2.5
284,Benin,2015,2.6
285,Samoa,2015,2.7
286,Haiti,2015,2.8
287,Sri Lanka,2015,2.9
288,Ghana,2015,3.0
289,Namibia,2015,3.3
290,Gambia,2015,3.4
291,Turkmenistan,2015,3.4
292,Honduras,2015,3.5
293,Fiji,2015,3.6
294,El Salvador,2015,3.6
295,United Arab Emirates,2015,3.8
296,Israel,2015,3.9
297,Ecuador,2015,3.9
298,Malawi,2015,4.0
299,Jamaica,2015,4.0
300,Costa Rica,2015,4.1
301,Nauru,2015,4.2
302,Bolivia (Plurinational State of),2015,4.2
303,Mauritius,2015,4.3
304,Democratic People's Republic of Korea,2015,4.5
305,Zambia,2015,4.5
306,Bahamas,2015,4.7
307,Kazakhstan,2015,4.7
308,Liberia,2015,4.9
309,Sierra Leone,2015,5.0
310,Mexico,2015,5.0
311,Nicaragua,2015,5.0
312,Armenia,2015,5.0
313,Lesotho,2015,5.1
314,Guinea-Bissau,2015,5.2
315,Zimbabwe,2015,5.3
316,India,2015,5.5
317,Colombia,2015,5.6
318,Guyana,2015,5.8
319,The former Yugoslav Republic of Macedonia,2015,6.0
320,Cuba,2015,6.0
321,Nigeria,2015,6.1
322,Saint Kitts and Nevis,2015,6.1
323,Cameroon,2015,6.1
324,Kyrgyzstan,2015,6.2
325,Suriname,2015,6.3
326,Cabo Verde,2015,6.3
327,Albania,2015,6.4
328,Dominican Republic,2015,6.4
329,Cambodia,2015,6.6
330,Philippines,2015,6.7
331,Paraguay,2015,6.7
332,Trinidad and Tobago,2015,6.7
333,Venezuela (Bolivarian Republic of),2015,6.9
334,Botswana,2015,6.9
335,Viet Nam,2015,7.0
336,Saint Vincent and the Grenadines,2015,7.0
337,Uruguay,2015,7.0
338,Peru,2015,7.0
339,China,2015,7.1
340,Norway,2015,7.1
341,Burundi,2015,7.2
342,Bosnia and Herzegovina,2015,7.2
343,Belize,2015,7.2
344,Sao Tome and Principe,2015,7.3
345,Malta,2015,7.6
346,Panama,2015,7.6
347,Italy,2015,7.7
348,Antigua and Barbuda,2015,7.8
349,Dominica,2015,7.8
350,Congo,2015,7.9
351,Brazil,2015,7.9
352,Rwanda,2015,8.3
353,Seychelles,2015,8.3
354,Grenada,2015,8.5
355,Mongolia,2015,8.5
356,Eswatini,2015,8.6
357,Iceland,2015,8.7
358,Thailand,2015,8.8
359,Angola,2015,8.8
360,Croatia,2015,8.8
361,Serbia,2015,8.8
362,Georgia,2015,8.9
363,Canada,2015,9.0
364,Equatorial Guinea,2015,9.1
365,Republic of Korea,2015,9.1
366,Sweden,2015,9.1
367,Chile,2015,9.2
368,Saint Lucia,2015,9.4
369,Gabon,2015,9.5
370,South Africa,2015,9.5
371,Niue,2015,9.6
372,Argentina,2015,9.6
373,Netherlands,2015,9.6
374,United States of America,2015,9.8
375,Japan,2015,9.9
376,Afghanistan,2010,0.0
377,Bangladesh,2010,0.0
378,Kuwait,2010,0.0
379,Mauritania,2010,0.0
380,Saudi Arabia,2010,0.0
381,Somalia,2010,0.0
382,Libya,2010,0.1
383,Pakistan,2010,0.2
384,Yemen,2010,0.2
385,Egypt,2010,0.2
386,Comoros,2010,0.2
387,Niger,2010,0.3
388,Timor-Leste,2010,0.3
389,Nepal,2010,0.4
390,Senegal,2010,0.4
391,Iraq,2010,0.4
392,Algeria,2010,0.4
393,Brunei Darussalam,2010,0.5
394,Indonesia,2010,0.5
395,Morocco,2010,0.5
396,Bhutan,2010,0.6
397,Jordan,2010,0.6
398,Djibouti,2010,0.6
399,Guinea,2010,0.7
400,Oman,2010,0.7
401,Tajikistan,2010,0.7
402,Azerbaijan,2010,0.8
403,Syrian Arab Republic,2010,0.9
404,Iran (Islamic Republic of),2010,1.0
405,Mali,2010,1.1
406,Myanmar,2010,1.1
407,Malaysia,2010,1.4
408,Tonga,2010,1.4
409,Tunisia,2010,1.4
410,Ethiopia,2010,1.5
411,Mozambique,2010,1.5
412,Democratic Republic of the Congo,2010,1.5
413,Papua New Guinea,2010,1.6
414,Solomon Islands,2010,1.6
415,Qatar,2010,1.6
416,Tuvalu,2010,1.7
417,Bahrain,2010,1.7
418,Kenya,2010,1.7
419,Vanuatu,2010,1.8
420,Côte d’Ivoire,2010,1.8
421,Madagascar,2010,1.8
422,Lebanon,2010,1.8
423,Maldives,2010,1.8
424,Uzbekistan,2010,1.8
425,Gabon,2010,10.0
426,Latvia,2010,10.0
427,Republic of Korea,2010,10.0
428,Croatia,2010,10.0
429,Canada,2010,10.1
430,Spain,2010,10.2
431,United Republic of Tanzania,2010,10.3
432,Netherlands,2010,10.3
433,Bulgaria,2010,10.9
434,Denmark,2010,11.0
435,Poland,2010,11.2
436,Andorra,2010,11.2
437,New Zealand,2010,11.3
438,Cyprus,2010,11.4
439,Belgium,2010,11.4
440,Switzerland,2010,11.4
441,Slovakia,2010,11.5
442,Slovenia,2010,11.5
443,Serbia,2010,11.9
444,United Kingdom of Great Britain and Northern Ireland,2010,12.0
445,Hungary,2010,12.1
446,Austria,2010,12.1
447,Republic of Moldova,2010,12.3
448,Ireland,2010,12.3
449,France,2010,12.4
450,Australia,2010,12.4
451,Portugal,2010,12.5
452,Luxembourg,2010,12.5
453,Finland,2010,12.6
454,Germany,2010,12.9
455,Estonia,2010,13.1
456,Ukraine,2010,13.6
457,Romania,2010,14.0
458,Czechia,2010,14.1
459,Montenegro,2010,15.2
460,Uganda,2010,15.3
461,Lithuania,2010,15.3
462,Belarus,2010,15.5
463,Russian Federation,2010,15.6
464,Guatemala,2010,2.0
465,Togo,2010,2.1
466,Turkey,2010,2.1
467,Singapore,2010,2.2
468,Namibia,2010,2.2
469,Eritrea,2010,2.3
470,Benin,2010,2.3
471,Sri Lanka,2010,2.7
472,Turkmenistan,2010,2.7
473,Micronesia (Federated States of),2010,2.8
474,Kiribati,2010,2.9
475,Samoa,2010,2.9
476,United Arab Emirates,2010,3.0
477,Haiti,2010,3.0
478,Zambia,2010,3.2
479,Israel,2010,3.2
480,Fiji,2010,3.3
481,El Salvador,2010,3.3
482,Gambia,2010,3.5
483,Malawi,2010,3.6
484,Honduras,2010,3.6
485,Democratic People's Republic of Korea,2010,3.8
486,Jamaica,2010,3.8
487,Ghana,2010,3.9
488,Mauritius,2010,4.1
489,Zimbabwe,2010,4.1
490,Central African Republic,2010,4.2
491,Chad,2010,4.3
492,India,2010,4.3
493,Ecuador,2010,4.3
494,Bahamas,2010,4.4
495,Costa Rica,2010,4.6
496,Guinea-Bissau,2010,4.6
497,Nicaragua,2010,4.8
498,Cambodia,2010,4.9
499,Kazakhstan,2010,5.0
500,Armenia,2010,5.1
501,Colombia,2010,5.1
502,Bolivia (Plurinational State of),2010,5.2
503,Viet Nam,2010,5.3
504,Mexico,2010,5.3
505,Sierra Leone,2010,5.3
506,Cuba,2010,5.3
507,Liberia,2010,5.4
508,Antigua and Barbuda,2010,5.6
509,Seychelles,2010,5.8
510,Guyana,2010,5.8
511,The former Yugoslav Republic of Macedonia,2010,5.9
512,Nigeria,2010,5.9
513,Nauru,2010,6.0
514,Trinidad and Tobago,2010,6.1
515,Dominican Republic,2010,6.1
516,Congo,2010,6.3
517,Suriname,2010,6.3
518,Lesotho,2010,6.4
519,Kyrgyzstan,2010,6.4
520,Saint Kitts and Nevis,2010,6.5
521,Botswana,2010,6.5
522,Malta,2010,6.6
523,Saint Vincent and the Grenadines,2010,6.7
524,Panama,2010,6.8
525,Niue,2010,6.8
526,Philippines,2010,7.0
527,China,2010,7.0
528,Italy,2010,7.0
529,Belize,2010,7.1
530,Albania,2010,7.1
531,Thailand,2010,7.1
532,Uruguay,2010,7.1
533,Mongolia,2010,7.1
534,Lao People's Democratic Republic,2010,7.2
535,Bosnia and Herzegovina,2010,7.4
536,Cabo Verde,2010,7.5
537,Eswatini,2010,7.5
538,Iceland,2010,7.5
539,Paraguay,2010,7.6
540,Grenada,2010,7.7
541,Norway,2010,7.7
542,Peru,2010,7.8
543,Burundi,2010,7.9
544,Sao Tome and Principe,2010,8.1
545,Burkina Faso,2010,8.2
546,Cook Islands,2010,8.3
547,Cameroon,2010,8.3
548,Barbados,2010,8.3
549,Brazil,2010,8.5
550,Japan,2010,8.6
551,Venezuela (Bolivarian Republic of),2010,8.7
552,Dominica,2010,9.0
553,Argentina,2010,9.1
554,Angola,2010,9.1
555,Equatorial Guinea,2010,9.3
556,Chile,2010,9.3
557,Saint Lucia,2010,9.4
558,United States of America,2010,9.4
559,Rwanda,2010,9.5
560,Sweden,2010,9.5
561,South Africa,2010,9.8
562,Greece,2010,9.9
563,Georgia,2010,9.9
564,Afghanistan,2005,0.0
565,Bangladesh,2005,0.0
566,Kuwait,2005,0.0
567,Mauritania,2005,0.0
568,Saudi Arabia,2005,0.0
569,Somalia,2005,0.0
570,Brunei Darussalam,2005,0.1
571,Pakistan,2005,0.1
572,Libya,2005,0.1
573,Egypt,2005,0.2
574,Niger,2005,0.2
575,Timor-Leste,2005,0.3
576,Yemen,2005,0.4
577,Nepal,2005,0.4
578,Comoros,2005,0.4
579,Indonesia,2005,0.5
580,Algeria,2005,0.5
581,Morocco,2005,0.5
582,Senegal,2005,0.6
583,Iraq,2005,0.6
584,Democratic Republic of the Congo,2005,0.6
585,Jordan,2005,0.6
586,Tajikistan,2005,0.6
587,Myanmar,2005,0.7
588,Guinea,2005,0.8
589,Azerbaijan,2005,0.8
590,Ethiopia,2005,0.9
591,Syrian Arab Republic,2005,0.9
592,Iran (Islamic Republic of),2005,1.0
593,Mali,2005,1.0
594,Kenya,2005,1.0
595,Mozambique,2005,1.1
596,Vanuatu,2005,1.2
597,Djibouti,2005,1.2
598,Côte d’Ivoire,2005,1.3
599,Malaysia,2005,1.4
600,Oman,2005,1.4
601,Madagascar,2005,1.4
602,Papua New Guinea,2005,1.5
603,Tunisia,2005,1.5
604,Solomon Islands,2005,1.6
605,Maldives,2005,1.7
606,Qatar,2005,1.8
607,Singapore,2005,1.8
608,Bahrain,2005,1.8
609,Tuvalu,2005,1.9
610,Sao Tome and Principe,2005,10.0
611,Croatia,2005,10.2
612,Latvia,2005,10.4
613,Republic of Korea,2005,10.6
614,Poland,2005,10.6
615,Greece,2005,10.7
616,Netherlands,2005,10.7
617,New Zealand,2005,10.9
618,Saint Lucia,2005,11.4
619,Bulgaria,2005,11.4
620,Slovakia,2005,11.5
621,Switzerland,2005,11.6
622,Ukraine,2005,12.1
623,Australia,2005,12.1
624,Denmark,2005,12.3
625,Slovenia,2005,12.3
626,Cyprus,2005,12.4
627,Rwanda,2005,12.8
628,Austria,2005,12.8
629,Finland,2005,12.8
630,Spain,2005,12.8
631,Andorra,2005,13.0
632,Belarus,2005,13.0
633,France,2005,13.1
634,Belgium,2005,13.1
635,Luxembourg,2005,13.2
636,Portugal,2005,13.4
637,Germany,2005,13.6
638,United Kingdom of Great Britain and Northern Ireland,2005,13.9
639,Uganda,2005,14.3
640,Ireland,2005,14.5
641,Hungary,2005,14.6
642,Czechia,2005,14.8
643,Republic of Moldova,2005,15.7
644,Romania,2005,16.0
645,Lithuania,2005,16.3
646,Estonia,2005,16.4
647,Russian Federation,2005,17.0
648,Bhutan,2005,2.0
649,Turkey,2005,2.0
650,Sri Lanka,2005,2.0
651,Tonga,2005,2.1
652,Lebanon,2005,2.1
653,Benin,2005,2.2
654,Uzbekistan,2005,2.2
655,Guatemala,2005,2.3
656,India,2005,2.4
657,Eritrea,2005,2.6
658,Cambodia,2005,2.7
659,Namibia,2005,2.7
660,Turkmenistan,2005,2.7
661,Israel,2005,2.7
662,Togo,2005,2.8
663,Micronesia (Federated States of),2005,2.8
664,Zimbabwe,2005,2.8
665,Viet Nam,2005,2.9
666,Zambia,2005,2.9
667,Malawi,2005,3.1
668,Fiji,2005,3.1
669,Kiribati,2005,3.3
670,United Arab Emirates,2005,3.6
671,Nauru,2005,3.6
672,Democratic People's Republic of Korea,2005,3.7
673,Central African Republic,2005,3.8
674,El Salvador,2005,3.8
675,Congo,2005,3.9
676,Jamaica,2005,3.9
677,Haiti,2005,3.9
678,Honduras,2005,3.9
679,Mongolia,2005,3.9
680,Ecuador,2005,3.9
681,Gambia,2005,4.0
682,China,2005,4.0
683,Samoa,2005,4.2
684,Bolivia (Plurinational State of),2005,4.3
685,Chad,2005,4.4
686,Lao People's Democratic Republic,2005,4.4
687,Bahamas,2005,4.6
688,Angola,2005,4.8
689,Armenia,2005,4.9
690,Ghana,2005,5.0
691,Lesotho,2005,5.1
692,Mauritius,2005,5.3
693,Nicaragua,2005,5.3
694,Sierra Leone,2005,5.4
695,Saint Vincent and the Grenadines,2005,5.4
696,Suriname,2005,5.4
697,Costa Rica,2005,5.5
698,Guinea-Bissau,2005,5.5
699,Panama,2005,5.5
700,Cuba,2005,5.6
701,Colombia,2005,5.6
702,Philippines,2005,5.6
703,Antigua and Barbuda,2005,5.8
704,Cook Islands,2005,6.0
705,Trinidad and Tobago,2005,6.0
706,Liberia,2005,6.1
707,Dominican Republic,2005,6.1
708,Seychelles,2005,6.2
709,Mexico,2005,6.5
710,Georgia,2005,6.7
711,Paraguay,2005,6.7
712,Guyana,2005,6.7
713,Malta,2005,6.7
714,Cabo Verde,2005,6.8
715,Nigeria,2005,6.8
716,Kyrgyzstan,2005,6.8
717,The former Yugoslav Republic of Macedonia,2005,7.0
718,Peru,2005,7.0
719,Eswatini,2005,7.0
720,Botswana,2005,7.1
721,Belize,2005,7.2
722,Bosnia and Herzegovina,2005,7.2
723,Niue,2005,7.4
724,Uruguay,2005,7.5
725,Norway,2005,7.5
726,Cameroon,2005,7.6
727,Albania,2005,7.7
728,Barbados,2005,7.7
729,Iceland,2005,7.8
730,Saint Kitts and Nevis,2005,7.9
731,Japan,2005,8.1
732,Grenada,2005,8.2
733,Brazil,2005,8.4
734,Dominica,2005,8.6
735,Burundi,2005,8.6
736,Burkina Faso,2005,8.6
737,Italy,2005,8.6
738,Sweden,2005,8.6
739,Argentina,2005,8.7
740,United Republic of Tanzania,2005,8.8
741,Chile,2005,8.9
742,Thailand,2005,9.0
743,Equatorial Guinea,2005,9.0
744,South Africa,2005,9.4
745,Kazakhstan,2005,9.4
746,Venezuela (Bolivarian Republic of),2005,9.5
747,Gabon,2005,9.5
748,United States of America,2005,9.5
749,Canada,2005,9.8
750,Afghanistan,2000,0.0
751,Bangladesh,2000,0.0
752,Kuwait,2000,0.0
753,Mauritania,2000,0.0
754,Saudi Arabia,2000,0.0
755,Somalia,2000,0.0
756,Pakistan,2000,0.1
757,Egypt,2000,0.1
758,Myanmar,2000,0.1
759,Brunei Darussalam,2000,0.2
760,Libya,2000,0.2
761,Comoros,2000,0.2
762,Nepal,2000,0.2
763,Niger,2000,0.2
764,Algeria,2000,0.3
765,Indonesia,2000,0.5
766,Iraq,2000,0.5
767,Morocco,2000,0.5
768,Timor-Leste,2000,0.6
769,Jordan,2000,0.6
770,Azerbaijan,2000,0.6
771,Ethiopia,2000,0.7
772,Guinea,2000,0.7
773,Senegal,2000,0.7
774,Yemen,2000,0.8
775,Tajikistan,2000,0.8
776,Qatar,2000,0.9
777,Iran (Islamic Republic of),2000,1.0
778,Democratic Republic of the Congo,2000,1.0
779,Vanuatu,2000,1.1
780,Mali,2000,1.2
781,Oman,2000,1.2
782,Syrian Arab Republic,2000,1.2
783,Solomon Islands,2000,1.2
784,Mozambique,2000,1.3
785,Malaysia,2000,1.4
786,Tunisia,2000,1.5
787,Djibouti,2000,1.5
788,Papua New Guinea,2000,1.6
789,Togo,2000,1.6
790,Cambodia,2000,1.7
791,Tonga,2000,1.7
792,Bahrain,2000,1.7
793,Viet Nam,2000,1.8
794,Tuvalu,2000,1.8
795,Sri Lanka,2000,1.8
796,Greece,2000,10.1
797,New Zealand,2000,10.2
798,Estonia,2000,10.3
799,Gabon,2000,10.5
800,Italy,2000,10.8
801,Republic of Moldova,2000,10.9
802,Cyprus,2000,10.9
803,Netherlands,2000,11.1
804,Saint Lucia,2000,11.2
805,Finland,2000,11.5
806,Australia,2000,11.7
807,Bulgaria,2000,11.8
808,Slovakia,2000,12.1
809,Croatia,2000,12.3
810,Spain,2000,12.5
811,Belgium,2000,12.5
812,Switzerland,2000,12.5
813,Slovenia,2000,12.7
814,Belarus,2000,12.8
815,Republic of Korea,2000,12.9
816,Denmark,2000,13.0
817,Austria,2000,13.3
818,Andorra,2000,13.4
819,Ukraine,2000,13.6
820,United Kingdom of Great Britain and Northern Ireland,2000,13.9
821,Luxembourg,2000,14.1
822,Portugal,2000,14.1
823,France,2000,14.2
824,Rwanda,2000,14.3
825,Germany,2000,14.3
826,Hungary,2000,14.6
