country,year,litres_per_capita_average,happiness_score,gdp_per_capita,healthy_life_expectancy
Switzerland,2015,11.5,7.587,1.39651,0.94143
Iceland,2015,8.7,7.561,1.30232,0.94784
Denmark,2015,10.4,7.527,1.32548,0.87464
Norway,2015,7.1,7.522,1.459,0.88521
Canada,2015,9.0,7.427,1.32629,0.90563
Finland,2015,11.0,7.406,1.29025,0.88911
Netherlands,2015,9.6,7.378,1.32944,0.89284
Sweden,2015,9.1,7.364,1.33171,0.91087
New Zealand,2015,10.4,7.286,1.25018,0.90837
Australia,2015,10.8,7.284,1.33358,0.93156
Israel,2015,3.9,7.278,1.22857,0.91387
Costa Rica,2015,4.1,7.226,0.95578,0.86027
Austria,2015,12.1,7.2,1.33723,0.89042
Mexico,2015,5.0,7.187,1.02054,0.81444
Brazil,2015,7.9,6.983,0.98124,0.69702
Luxembourg,2015,12.7,6.946,1.56391,0.91894
Ireland,2015,12.6,6.94,1.33596,0.89533
Belgium,2015,11.8,6.937,1.30782,0.89667
United Arab Emirates,2015,3.8,6.901,1.42727,0.80925
Oman,2015,0.8,6.853,1.36011,0.76276
Singapore,2015,2.1,6.798,1.52186,1.02525
Panama,2015,7.6,6.786,1.06353,0.79661
Germany,2015,13.0,6.75,1.32792,0.89186
Chile,2015,9.2,6.67,1.10715,0.85857
Qatar,2015,1.6,6.611,1.69042,0.79733
France,2015,12.6,6.575,1.27778,0.94579
Argentina,2015,9.6,6.574,1.05351,0.78723
Uruguay,2015,7.0,6.485,1.06166,0.8116
Colombia,2015,5.6,6.477,0.91861,0.69077
Thailand,2015,8.8,6.455,0.9669,0.7385
Saudi Arabia,2015,0.0,6.411,1.39541,0.72025
Spain,2015,11.4,6.329,1.23011,0.95562
Malta,2015,7.6,6.302,1.2074,0.88721
Kuwait,2015,0.0,6.295,1.55422,0.72492
Suriname,2015,6.3,6.269,0.99534,0.6082
Trinidad and Tobago,2015,6.7,6.168,1.21183,0.61483
El Salvador,2015,3.6,6.13,0.76454,0.67737
Guatemala,2015,1.7,6.123,0.74553,0.64425
Uzbekistan,2015,2.5,6.003,0.63244,0.59772
Slovakia,2015,11.2,5.995,1.16891,0.78902
Japan,2015,9.9,5.987,1.27074,0.99111
Ecuador,2015,3.9,5.975,0.86402,0.79075
Bahrain,2015,1.4,5.96,1.32376,0.74716
Italy,2015,7.7,5.948,1.25114,0.95446
Paraguay,2015,6.7,5.878,0.75985,0.66098
Kazakhstan,2015,4.7,5.855,1.12254,0.64368
Slovenia,2015,12.7,5.848,1.18498,0.87337
Lithuania,2015,15.4,5.833,1.14723,0.73128
Nicaragua,2015,5.0,5.828,0.59325,0.74314
Peru,2015,7.0,5.824,0.90019,0.73017
Belarus,2015,11.1,5.813,1.03192,0.73608
Poland,2015,11.6,5.791,1.12555,0.77903
Malaysia,2015,0.8,5.77,1.12486,0.72394
Croatia,2015,8.8,5.759,1.08254,0.78805
Libya,2015,0.0,5.754,1.13145,0.7038
Jamaica,2015,4.0,5.709,0.81038,0.68741
Cyprus,2015,10.8,5.689,1.20813,0.92356
Algeria,2015,0.6,5.605,0.93929,0.61766
Turkmenistan,2015,3.4,5.548,0.95847,0.53886
Mauritius,2015,4.3,5.477,1.00761,0.7095
Estonia,2015,14.4,5.429,1.15174,0.77361
Indonesia,2015,0.2,5.399,0.82827,0.63793
Turkey,2015,1.9,5.332,1.06098,0.73172
Kyrgyzstan,2015,6.2,5.286,0.47428,0.65088
Nigeria,2015,6.1,5.268,0.65435,0.16007
Bhutan,2015,0.3,5.253,0.77042,0.57407
Azerbaijan,2015,0.5,5.212,1.02389,0.64045
Pakistan,2015,0.3,5.194,0.59543,0.51466
Jordan,2015,0.6,5.192,0.90198,0.69639
Montenegro,2015,11.1,5.192,0.97438,0.72521
China,2015,7.1,5.14,0.89012,0.81658
Zambia,2015,4.5,5.129,0.47038,0.29924
Romania,2015,11.6,5.124,1.04345,0.7689
Serbia,2015,8.8,5.123,0.92053,0.74836
Portugal,2015,11.9,5.102,1.15991,0.87519
Latvia,2015,11.0,5.098,1.11312,0.72437
Philippines,2015,6.7,5.073,0.70532,0.58114
Morocco,2015,0.4,5.013,0.73479,0.60954
Mozambique,2015,2.3,4.971,0.08308,0.09131
Albania,2015,6.4,4.959,0.87867,0.81325
Bosnia and Herzegovina,2015,7.2,4.949,0.83223,0.79081
Lesotho,2015,5.1,4.898,0.37545,0.07612
Dominican Republic,2015,6.4,4.885,0.89537,0.66825
Mongolia,2015,8.5,4.874,0.82819,0.60268
